Student ID: 567698659531
Script Version: 14253678915979
Last Name: yeagerNot markedNot markedNot markedNot markedNot markedNot markedNot marked
First Name: erenNot markedNot markedNot marked
Middle Name: ['g']
Questions,Answers
Q1,b
Q2,Not marked
Q3,b
Q4,d
Q5,f
Q6,e
Q7,a
Q8,c
Q9,Not marked
Q10,d
Q11,f
Q12,e
Q13,a
Q14,c
Q15,d
Q16,Not marked
Q17,e
Q18,Not marked
Q19,Not marked
Q20,f

Q21,f
Q22,a
Q23,b
Q24,d
Q25,Not marked
Q26,e
Q27,b
Q28,d
Q29,a
Q30,f
Q31,Not marked
Q32,b
Q33,d
Q34,Not marked
Q35,b
Q36,e
Q37,f
Q38,c
Q39,d
Q40,e

Q41,e
Q42,b
Q43,d
Q44,a
Q45,c
Q46,e
Q47,f
Q48,e
Q49,b
Q50,d
Q51,a
Q52,c
Q53,Not marked
Q54,e
Q55,c
Q56,d
Q57,a
Q58,Not marked
Q59,e
Q60,d

Q61,c
Q62,d
Q63,b
Q64,e
Q65,a
Q66,f
Q67,a
Q68,b
Q69,d
Q70,f
Q71,b
Q72,e
Q73,c
Q74,Not marked
Q75,a
Q76,f
Q77,d
Q78,b
Q79,d
Q80,f

Q81,Not marked
Q82,d
Q83,c
Q84,Not marked
Q85,d
Q86,c
Q87,e
Q88,Not marked
Q89,d
Q90,a
Q91,a
Q92,b
Q93,c
Q94,d
Q95,e
Q96,f
Q97,a
Q98,Not marked
Q99,e
Q100,Not marked

