Student ID: 9876543210122
Script Version: 14253678915975
Last Name: fghijklmnopqr
First Name: stuvwxy
Middle Name: ['z']
Questions,Answers
Q1,b
Q2,c
Q3,a
Q4,d
Q5,e
Q6,f
Q7,Not marked
Q8,e
Q9,e
Q10,e
Q11,d
Q12,f
Q13,f
Q14,a
Q15,d
Q16,c
Q17,e
Q18,Not marked
Q19,b
Q20,d

Q21,f
Q22,e
Q23,f
Q24,Not marked
Q25,d
Q26,c
Q27,c
Q28,d
Q29,d
Q30,a
Q31,b
Q32,a
Q33,b
Q34,Not marked
Q35,a
Q36,b
Q37,b
Q38,b
Q39,b
Q40,b

Q41,e
Q42,e
Q43,e
Q44,d
Q45,c
Q46,b
Q47,b
Q48,a
Q49,a
Q50,b
Q51,c
Q52,d
Q53,e
Q54,f
Q55,e
Q56,d
Q57,c
Q58,b
Q59,a
Q60,a

Q61,a
Q62,b
Q63,c
Q64,d
Q65,e
Q66,f
Q67,e
Q68,d
Q69,c
Q70,b
Q71,a
Q72,b
Q73,c
Q74,d
Q75,e
Q76,f
Q77,f
Q78,f
Q79,e
Q80,e

Q81,c
Q82,Not marked
Q83,c
Q84,c
Q85,Not marked
Q86,a
Q87,b
Q88,a
Q89,c
Q90,c
Q91,c
Q92,c
Q93,f
Q94,e
Q95,d
Q96,c
Q97,b
Q98,b
Q99,b
Q100,a

